provinceID,year,week,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
19,2000,01,0.06,1.22,9.41,21.26,26.41,23.37,11.24,4.49,1.66,0.61,0.17,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,2000,02,0.00,0.33,1.66,9.30,24.03,28.74,20.49,8.86,4.26,1.38,0.78,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,2000,03,0.00,0.00,0.50,2.93,12.13,26.36,26.52,17.61,8.03,3.54,1.88,0.39,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,2000,04,0.00,0.00,0.00,0.44,3.99,14.12,24.81,25.91,17.72,8.91,2.71,0.94,0.39,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,2000,05,0.00,0.00,0.00,0.00,0.61,4.37,17.44,27.35,27.52,16.39,4.60,1.55,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,2000,06,0.00,0.00,0.00,0.00,0.28,3.27,14.95,31.01,30.68,14.67,4.43,0.66,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,2000,07,0.00,0.00,0.00,0.00,0.17,3.16,15.50,32.45,31.51,12.85,3.49,0.78,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,2000,08,0.00,0.00,0.00,0.00,0.06,1.77,9.69,26.47,31.73,21.71,6.53,1.72,0.22,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,2000,09,0.00,0.00,0.00,0.00,0.00,0.66,3.10,15.39,29.84,27.63,16.78,4.98,1.38,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00
19,2000,10,0.00,0.00,0.00,0.00,0.00,0.00,1.00,7.31,22.20,30.73,22.59,11.13,3.43,1.33,0.22,0.06,0.00,0.00,0.00,0.00,0.00
19,2000,11,0.00,0.00,0.00,0.00,0.00,0.00,0.78,6.15,19.99,31.73,22.92,12.62,4.21,1.22,0.33,0.06,0.00,0.00,0.00,0.00,0.00
19,2000,12,0.00,0.00,0.00,0.00,0.00,0.00,0.44,3.65,12.40,27.46,26.25,18.22,7.86,2.82,0.78,0.11,0.00,0.00,0.00,0.00,0.00
19,2000,13,0.00,0.00,0.00,0.00,0.00,0.11,0.61,3.71,11.96,24.58,26.58,18.27,9.36,3.38,1.11,0.33,0.00,0.00,0.00,0.00,0.00
19,2000,14,0.00,0.00,0.00,0.00,0.06,0.11,1.38,4.49,12.90,23.03,25.36,17.77,8.58,4.60,1.33,0.39,0.00,0.00,0.00,0.00,0.00
19,2000,15,0.00,0.00,0.00,0.00,0.00,0.17,1.44,5.09,12.90,20.60,24.53,18.44,9.47,5.09,1.94,0.28,0.06,0.00,0.00,0.00,0.00
19,2000,16,0.00,0.00,0.00,0.00,0.00,0.33,0.66,3.54,9.69,15.12,19.82,17.88,15.84,10.02,4.65,1.77,0.55,0.06,0.06,0.00,0.00
19,2000,17,0.00,0.00,0.00,0.06,0.06,0.17,0.78,3.21,7.03,10.30,14.06,17.33,15.95,14.01,8.64,4.43,2.44,0.94,0.50,0.11,0.00
19,2000,18,0.00,0.00,0.00,0.00,0.06,0.22,1.33,3.60,6.48,7.70,12.24,15.95,14.84,14.34,10.02,6.81,3.49,1.83,0.66,0.39,0.06
19,2000,19,0.00,0.00,0.00,0.00,0.17,0.55,2.27,4.21,5.70,9.14,11.46,14.78,12.18,14.40,9.86,6.42,4.93,2.27,1.00,0.55,0.11
19,2000,20,0.00,0.00,0.00,0.06,0.44,1.00,1.99,4.10,7.31,10.41,12.35,13.68,14.29,12.62,9.19,5.70,3.99,1.72,0.94,0.22,0.00
19,2000,21,0.00,0.00,0.17,0.33,0.89,1.50,3.27,7.81,10.96,13.29,15.67,13.84,12.62,8.36,6.31,2.99,1.44,0.55,0.00,0.00,0.00
19,2000,22,0.22,0.06,0.33,0.55,1.50,3.05,7.09,11.63,13.46,16.67,14.84,12.96,9.52,4.82,1.77,1.16,0.33,0.06,0.00,0.00,0.00
19,2000,23,0.28,0.28,0.55,1.55,3.27,5.48,10.80,13.79,14.84,16.61,13.18,9.25,5.81,2.66,0.89,0.66,0.11,0.00,0.00,0.00,0.00
19,2000,24,0.39,0.33,1.11,2.93,5.48,7.92,11.96,15.50,15.84,13.73,10.35,7.25,4.21,1.44,1.00,0.39,0.17,0.00,0.00,0.00,0.00
19,2000,25,0.33,0.61,1.38,2.38,5.54,7.36,12.35,15.39,15.50,14.34,9.91,6.81,4.26,2.05,1.00,0.44,0.17,0.17,0.00,0.00,0.00
19,2000,26,0.28,0.22,1.27,2.60,3.93,7.42,11.07,15.12,16.61,14.73,11.07,7.36,4.26,2.27,1.00,0.44,0.17,0.17,0.00,0.00,0.00
19,2000,27,0.00,0.22,0.89,1.61,3.16,7.42,9.91,13.79,18.27,13.40,13.18,8.69,5.37,2.44,1.05,0.39,0.06,0.17,0.00,0.00,0.00
19,2000,28,0.00,0.00,0.17,1.00,1.77,5.04,8.75,12.79,15.50,16.45,16.17,10.30,7.14,3.05,1.38,0.33,0.06,0.11,0.00,0.00,0.00
19,2000,29,0.00,0.00,0.00,0.00,0.44,1.27,3.65,7.42,12.35,16.33,19.88,16.11,11.30,6.92,2.71,1.33,0.11,0.17,0.00,0.00,0.00
19,2000,30,0.00,0.00,0.00,0.00,0.06,0.39,1.50,3.93,7.81,12.85,18.66,18.66,17.17,10.80,5.48,1.88,0.44,0.28,0.06,0.06,0.00
19,2000,31,0.00,0.00,0.00,0.00,0.06,0.11,1.16,3.38,5.54,11.79,20.04,17.94,17.50,11.57,7.14,2.44,1.00,0.22,0.11,0.00,0.00
19,2000,32,0.00,0.00,0.00,0.00,0.06,0.06,0.50,2.38,4.37,9.91,15.78,19.49,18.60,14.12,9.03,3.60,1.61,0.28,0.17,0.06,0.00
19,2000,33,0.00,0.00,0.00,0.00,0.06,0.06,0.50,1.44,4.10,7.86,14.62,18.72,17.61,15.28,11.85,4.37,2.38,0.89,0.22,0.00,0.06
19,2000,34,0.00,0.00,0.00,0.00,0.00,0.11,0.44,0.94,3.05,6.59,11.74,16.50,18.22,17.05,13.12,6.42,4.04,1.27,0.33,0.17,0.00
19,2000,35,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.78,1.38,3.99,9.41,11.74,17.33,19.38,16.61,10.19,5.48,2.38,0.89,0.17,0.06
19,2000,36,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.28,1.94,4.04,7.42,12.90,14.23,17.66,17.28,12.18,7.59,2.77,1.16,0.17,0.17
19,2000,37,0.00,0.00,0.00,0.00,0.06,0.06,0.17,0.50,2.27,4.82,9.80,12.13,16.33,16.39,16.00,11.41,6.37,2.55,0.78,0.33,0.06
19,2000,38,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.50,1.33,4.43,9.03,13.57,16.28,17.44,16.28,12.74,5.65,2.10,0.33,0.17,0.00
19,2000,39,0.00,0.00,0.00,0.00,0.00,0.11,0.22,0.78,1.72,6.59,11.41,16.94,18.60,16.56,15.50,8.03,2.93,0.50,0.11,0.00,0.00
19,2000,40,0.00,0.00,0.00,0.06,0.06,0.72,1.22,5.26,10.91,16.22,20.43,19.21,14.84,6.81,3.16,1.00,0.11,0.00,0.00,0.00,0.00
19,2000,41,0.00,0.00,0.11,0.11,0.89,2.60,5.32,11.79,19.66,22.15,19.16,10.52,5.09,2.05,0.44,0.11,0.00,0.00,0.00,0.00,0.00
19,2000,42,0.00,0.06,0.28,1.00,1.83,4.04,8.97,18.55,24.31,21.65,11.79,5.70,1.33,0.39,0.11,0.00,0.00,0.00,0.00,0.00,0.00
19,2000,43,0.06,0.22,0.83,2.21,4.04,8.53,16.45,24.14,20.93,12.90,6.20,2.38,0.94,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,2000,44,0.66,3.60,5.81,8.86,13.62,18.99,17.00,13.84,9.08,4.21,2.99,0.94,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,2000,45,5.76,9.47,10.91,12.40,13.79,12.96,9.97,10.52,6.09,3.21,3.10,1.66,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,2000,46,8.53,11.41,9.75,9.14,10.96,12.18,9.03,8.97,8.64,4.21,4.10,2.66,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,2000,47,7.75,11.07,8.80,8.31,9.91,10.13,9.75,8.19,8.03,6.87,7.42,3.32,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,2000,48,3.65,11.57,8.64,7.81,8.19,10.24,9.80,9.41,7.42,6.70,8.14,7.81,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,2000,49,1.61,10.96,8.47,6.92,7.36,10.08,9.19,8.75,8.97,6.42,7.64,11.52,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,2000,50,2.10,9.80,9.47,6.59,6.87,8.53,10.52,7.64,8.53,6.70,7.81,12.35,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
