provinceID,year,week,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
23,2000,01,0.00,0.00,0.09,1.86,7.26,18.90,23.93,17.23,10.24,7.54,6.42,4.00,1.49,0.93,0.00,0.09,0.00,0.00,0.00,0.00,0.00
23,2000,02,0.00,0.00,0.00,0.28,2.98,9.22,19.93,21.51,16.20,10.24,6.98,7.08,3.63,1.68,0.09,0.09,0.09,0.00,0.00,0.00,0.00
23,2000,03,0.00,0.00,0.00,0.09,0.93,6.24,14.06,19.74,21.60,12.57,10.80,6.89,4.19,1.68,1.02,0.19,0.00,0.00,0.00,0.00,0.00
23,2000,04,0.00,0.00,0.00,0.09,0.84,3.82,12.57,20.11,19.27,15.74,12.29,7.36,4.56,2.05,1.12,0.19,0.00,0.00,0.00,0.00,0.00
23,2000,05,0.00,0.00,0.00,0.00,1.77,5.03,12.66,18.16,17.60,16.39,12.76,8.19,4.19,2.33,0.37,0.47,0.09,0.00,0.00,0.00,0.00
23,2000,06,0.00,0.00,0.00,0.09,1.49,5.96,11.27,16.57,20.02,13.78,14.06,9.03,4.28,1.86,1.12,0.19,0.19,0.09,0.00,0.00,0.00
23,2000,07,0.00,0.00,0.00,0.00,0.93,4.19,10.15,16.57,19.27,16.20,15.27,9.59,4.19,2.05,1.02,0.19,0.19,0.19,0.00,0.00,0.00
23,2000,08,0.00,0.00,0.00,0.00,0.56,3.91,10.34,14.53,19.83,16.11,19.46,8.19,4.00,1.68,0.74,0.37,0.19,0.09,0.00,0.00,0.00
23,2000,09,0.00,0.00,0.00,0.00,0.09,2.51,5.49,13.41,17.13,17.13,24.95,10.61,5.21,1.77,0.93,0.47,0.19,0.09,0.00,0.00,0.00
23,2000,10,0.00,0.00,0.00,0.00,0.09,0.47,3.26,8.94,15.55,16.95,31.01,13.87,6.70,2.05,0.65,0.37,0.09,0.00,0.00,0.00,0.00
23,2000,11,0.00,0.00,0.00,0.00,0.00,0.19,1.86,6.70,13.41,17.23,35.01,15.46,8.01,1.77,0.37,0.00,0.00,0.00,0.00,0.00,0.00
23,2000,12,0.00,0.00,0.00,0.00,0.00,0.19,0.65,5.03,10.15,18.25,34.36,19.09,8.75,3.17,0.37,0.00,0.00,0.00,0.00,0.00,0.00
23,2000,13,0.00,0.00,0.00,0.00,0.00,0.19,1.12,4.00,9.59,16.76,29.52,23.84,9.59,4.84,0.56,0.00,0.00,0.00,0.00,0.00,0.00
23,2000,14,0.00,0.00,0.00,0.00,0.00,0.19,1.68,5.21,10.43,17.04,23.09,21.60,13.41,5.87,1.30,0.19,0.00,0.00,0.00,0.00,0.00
