provinceID,year,week,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
7,2000,01,0.00,0.00,0.09,0.09,1.21,3.53,9.73,15.85,18.69,17.83,15.59,11.37,5.08,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,2000,02,0.00,0.00,0.00,0.00,0.26,1.38,5.94,15.50,19.38,19.72,16.54,13.01,6.72,1.46,0.09,0.00,0.00,0.00,0.00,0.00,0.00
7,2000,03,0.00,0.00,0.00,0.00,0.00,0.69,5.43,14.56,22.39,18.26,14.73,12.75,7.84,2.84,0.52,0.00,0.00,0.00,0.00,0.00,0.00
7,2000,04,0.00,0.00,0.00,0.00,0.00,0.34,4.39,15.85,23.08,17.48,15.25,9.73,7.41,4.13,2.07,0.26,0.00,0.00,0.00,0.00,0.00
7,2000,05,0.00,0.00,0.00,0.00,0.09,0.52,7.24,19.12,21.88,16.02,13.87,8.18,7.06,3.79,1.89,0.34,0.00,0.00,0.00,0.00,0.00
7,2000,06,0.00,0.00,0.00,0.00,0.09,0.78,7.84,16.88,22.39,16.19,15.59,9.39,5.34,3.45,1.72,0.17,0.09,0.00,0.09,0.00,0.00
7,2000,07,0.00,0.00,0.00,0.00,0.09,1.46,9.65,17.66,20.67,17.83,15.07,9.56,3.96,2.33,1.29,0.26,0.09,0.00,0.00,0.09,0.00
7,2000,08,0.00,0.00,0.00,0.00,0.17,1.46,8.44,17.05,21.71,18.95,16.28,8.27,4.74,1.89,0.60,0.34,0.00,0.00,0.09,0.00,0.00
7,2000,09,0.00,0.00,0.00,0.00,0.00,0.34,5.51,13.61,23.00,22.31,17.31,11.02,4.13,1.98,0.52,0.17,0.00,0.09,0.00,0.00,0.00
7,2000,10,0.00,0.00,0.00,0.00,0.00,0.34,3.62,12.14,19.98,24.98,19.29,13.01,5.00,1.12,0.34,0.17,0.00,0.00,0.00,0.00,0.00
7,2000,11,0.00,0.00,0.00,0.00,0.00,0.09,3.19,11.28,17.92,25.15,22.39,12.06,5.60,1.98,0.26,0.09,0.00,0.00,0.00,0.00,0.00
7,2000,12,0.00,0.00,0.00,0.00,0.00,0.00,1.55,5.25,13.87,23.94,24.55,17.66,9.22,3.01,0.86,0.09,0.00,0.00,0.00,0.00,0.00
7,2000,13,0.00,0.00,0.00,0.00,0.00,0.09,1.03,4.05,11.20,23.86,24.98,19.47,9.30,3.96,1.72,0.34,0.00,0.00,0.00,0.00,0.00
7,2000,14,0.00,0.00,0.00,0.00,0.00,0.34,1.12,5.17,12.75,23.86,25.84,15.85,9.39,3.79,1.29,0.43,0.17,0.00,0.00,0.00,0.00
7,2000,15,0.00,0.00,0.00,0.00,0.00,0.34,1.38,6.72,14.30,25.58,24.12,16.80,5.94,3.36,0.95,0.34,0.17,0.00,0.00,0.00,0.00
7,2000,16,0.00,0.00,0.00,0.09,0.00,0.43,1.21,4.57,11.63,19.64,26.61,20.76,9.30,3.70,1.29,0.69,0.09,0.00,0.00,0.00,0.00
7,2000,17,0.00,0.00,0.00,0.00,0.09,0.17,0.95,2.15,7.24,15.25,22.22,24.46,15.33,8.10,3.01,0.86,0.17,0.00,0.00,0.00,0.00
7,2000,18,0.00,0.00,0.00,0.00,0.00,0.09,0.34,1.81,3.88,9.82,16.19,21.27,20.24,13.95,7.67,3.62,0.86,0.17,0.09,0.00,0.00
7,2000,19,0.00,0.00,0.00,0.00,0.00,0.09,0.95,1.38,3.70,8.70,14.04,20.16,20.33,16.45,7.75,4.57,1.38,0.34,0.17,0.00,0.00
