provinceID,year,week,SMN,SMT,VCI,TCI,VHI
12,2000,01,0.035,263.98,11.57,24.85,18.21
12,2000,02,0.040,263.11,16.07,30.15,23.11
12,2000,03,0.043,263.19,19.00,31.88,25.44
12,2000,04,0.048,263.33,24.80,34.78,29.79
12,2000,05,0.050,263.87,27.41,39.17,33.29
12,2000,06,0.056,264.09,31.39,44.37,37.88
12,2000,07,0.058,265.68,28.44,43.89,36.17
12,2000,08,0.061,268.25,26.87,40.27,33.57
12,2000,09,0.067,269.85,26.90,42.59,34.74
12,2000,10,0.073,271.56,26.60,46.11,36.36
12,2000,11,0.079,273.70,25.21,44.56,34.88
12,2000,12,0.085,276.01,23.63,48.64,36.14
12,2000,13,0.093,278.70,22.19,49.21,35.70
12,2000,14,0.110,281.43,24.25,46.15,35.20
12,2000,15,0.137,284.81,31.27,37.38,34.33
12,2000,16,0.174,287.53,40.76,33.71,37.23
12,2000,17,0.222,289.70,53.54,31.40,42.47
12,2000,18,0.258,291.37,57.87,35.04,46.45
12,2000,19,0.282,292.62,55.05,39.63,47.34
12,2000,20,0.300,293.82,50.52,41.31,45.91
12,2000,21,0.318,295.19,48.76,35.92,42.34
12,2000,22,0.330,295.87,48.58,35.43,42.00
12,2000,23,0.338,296.24,48.80,36.25,42.52
12,2000,24,0.344,296.21,49.38,40.17,44.78
12,2000,25,0.344,296.04,46.84,47.33,47.08
12,2000,26,0.336,295.53,39.85,55.67,47.76
12,2000,27,0.328,295.08,34.38,61.89,48.13
12,2000,28,0.321,294.69,32.82,67.47,50.14
12,2000,29,0.315,294.40,32.30,72.94,52.62
12,2000,30,0.317,294.79,37.80,69.37,53.59
12,2000,31,0.315,294.63,39.75,69.38,54.57
12,2000,32,0.304,293.82,36.51,73.85,55.18
12,2000,33,0.292,293.13,32.91,73.58,53.24
12,2000,34,0.274,292.24,28.29,73.51,50.90
12,2000,35,0.258,290.63,25.62,78.47,52.04
12,2000,36,0.246,288.96,26.13,80.92,53.52
12,2000,37,0.234,287.83,26.97,79.66,53.31
12,2000,38,0.221,287.27,27.95,65.70,46.83
12,2000,39,0.203,286.90,28.15,44.12,36.13
12,2000,40,0.182,286.40,27.72,24.65,26.18
12,2000,41,0.152,285.00,22.60,15.13,18.87
12,2000,42,0.118,283.39,16.15,13.63,14.89
12,2000,43,0.092,281.71,13.57,11.95,12.76
12,2000,44,0.067,279.92,11.37,4.24,7.81
12,2000,45,0.050,278.14,9.87,3.10,6.49
12,2000,46,0.040,276.28,9.73,3.43,6.58
12,2000,47,0.031,274.60,10.20,3.23,6.71
12,2000,48,0.027,273.60,10.87,4.24,7.56
12,2000,49,0.029,272.29,11.72,6.79,9.25
12,2000,50,0.029,270.39,11.75,10.12,10.94
12,2000,51,0.028,268.23,10.75,13.81,12.28
12,2000,52,0.055,265.91,37.35,20.23,28.79
12,2001,01,0.057,263.66,40.55,25.84,33.19
12,2001,02,0.057,261.52,37.56,36.76,37.16
12,2001,03,0.058,259.42,36.21,48.77,42.49
12,2001,04,0.060,258.77,37.19,53.99,45.59
12,2001,05,0.064,258.34,38.80,60.36,49.58
12,2001,06,0.073,258.96,41.54,62.42,51.98
12,2001,07,0.077,259.77,39.12,65.42,52.27
12,2001,08,0.085,262.19,39.73,63.30,51.51
12,2001,09,0.095,265.58,41.53,59.20,50.37
12,2001,10,0.107,268.85,43.42,56.98,50.20
12,2001,11,0.124,272.35,48.14,50.31,49.23
12,2001,12,0.141,276.44,53.02,46.07,49.55
12,2001,13,0.158,279.88,58.47,42.29,50.38
12,2001,14,0.176,282.85,63.37,37.00,50.19
12,2001,15,0.189,285.04,62.47,37.09,49.78
12,2001,16,0.208,287.00,59.52,40.18,49.85
12,2001,17,0.242,288.95,64.35,40.13,52.24
12,2001,18,0.292,290.61,75.48,44.43,59.96
12,2001,19,0.326,291.53,78.39,53.45,65.92
12,2001,20,0.346,292.06,75.22,62.17,68.70
12,2001,21,0.358,292.32,71.23,68.45,69.84
12,2001,22,0.363,292.31,67.87,74.58,71.23
