provinceID,year,week,SMN,SMT,VCI,TCI,VHI
7,2000,01,0.064,258.21,23.30,67.33,45.31
7,2000,02,0.065,258.12,24.86,69.38,47.12
7,2000,03,0.070,259.57,28.99,66.64,47.81
7,2000,04,0.079,261.93,34.83,61.69,48.26
7,2000,05,0.090,264.54,37.73,56.70,47.22
7,2000,06,0.103,266.41,40.96,53.24,47.10
7,2000,07,0.116,268.54,44.04,48.22,46.13
7,2000,08,0.127,270.46,46.20,46.14,46.17
7,2000,09,0.136,271.82,47.05,47.56,47.31
7,2000,10,0.142,272.95,46.12,49.84,47.98
7,2000,11,0.153,274.49,46.38,50.96,48.67
7,2000,12,0.168,276.12,47.88,54.54,51.21
7,2000,13,0.189,278.35,50.77,53.83,52.30
7,2000,14,0.216,280.82,53.88,49.42,51.65
7,2000,15,0.255,283.54,61.19,40.22,50.70
7,2000,16,0.302,285.80,69.18,35.41,52.30
7,2000,17,0.354,287.59,75.94,34.57,55.26
7,2000,18,0.405,288.80,82.77,35.80,59.29
7,2000,19,0.437,289.65,82.72,37.52,60.12
7,2000,20,0.459,290.79,81.35,35.35,58.35
7,2000,21,0.475,292.05,78.38,32.25,55.31
7,2000,22,0.478,292.97,71.70,28.54,50.12
7,2000,23,0.475,293.52,65.91,26.09,46.00
7,2000,24,0.478,293.90,64.09,23.39,43.74
7,2000,25,0.472,293.79,58.84,24.87,41.86
7,2000,26,0.460,293.44,50.84,31.36,41.10
7,2000,27,0.448,293.14,43.16,40.50,41.83
7,2000,28,0.440,292.98,42.03,46.69,44.36
7,2000,29,0.441,292.90,45.81,49.99,47.90
7,2000,30,0.438,293.13,47.04,48.71,47.87
7,2000,31,0.424,292.89,40.19,50.98,45.59
7,2000,32,0.416,292.54,37.21,53.63,45.42
7,2000,33,0.416,292.71,38.99,47.07,43.03
7,2000,34,0.410,292.24,38.92,47.57,43.24
7,2000,35,0.395,291.06,39.03,52.06,45.55
7,2000,36,0.379,289.76,42.48,51.27,46.87
7,2000,37,0.365,288.45,46.40,48.55,47.48
7,2000,38,0.341,286.98,42.46,49.48,45.97
7,2000,39,0.311,286.04,35.08,44.86,39.97
7,2000,40,0.281,285.62,25.27,36.61,30.94
7,2000,41,0.251,284.49,19.50,31.51,25.50
7,2000,42,0.220,283.16,16.92,29.51,23.21
7,2000,43,0.191,281.90,16.93,25.59,21.26
7,2000,44,0.156,280.00,14.35,24.61,19.48
7,2000,45,0.134,278.41,16.23,21.74,18.98
7,2000,46,0.124,277.25,22.57,18.85,20.71
7,2000,47,0.112,275.93,26.94,18.18,22.56
7,2000,48,0.104,274.88,30.77,17.46,24.11
7,2000,49,0.100,273.58,33.11,17.60,25.35
7,2000,50,0.097,271.92,36.33,17.80,27.07
7,2000,51,0.095,269.84,40.60,21.19,30.90
7,2000,52,0.097,268.76,44.85,23.44,34.15
7,2001,01,0.103,267.59,48.62,28.02,38.32
7,2001,02,0.105,265.94,52.34,34.84,43.59
7,2001,03,0.105,265.21,52.66,38.90,45.78
7,2001,04,0.104,264.84,50.10,43.33,46.71
7,2001,05,0.102,264.32,44.81,49.19,47.00
7,2001,06,0.106,264.59,42.91,51.21,47.06
7,2001,07,0.115,265.63,44.15,50.07,47.11
7,2001,08,0.125,267.77,46.86,47.34,47.10
7,2001,09,0.135,270.03,48.56,47.76,48.16
7,2001,10,0.153,272.49,52.62,47.09,49.86
7,2001,11,0.180,275.70,59.72,42.78,51.25
7,2001,12,0.205,278.32,64.24,41.76,53.00
7,2001,13,0.225,280.94,65.80,37.40,51.60
7,2001,14,0.247,282.90,66.52,34.98,50.75
7,2001,15,0.263,284.19,64.10,35.59,49.85
7,2001,16,0.283,285.78,61.22,35.94,48.58
7,2001,17,0.313,287.05,60.25,39.09,49.67
7,2001,18,0.344,287.70,60.54,45.06,52.80
7,2001,19,0.380,288.67,62.38,46.04,54.21
7,2001,20,0.407,289.61,62.67,46.71,54.69
7,2001,21,0.414,289.27,56.33,59.25,57.79
7,2001,22,0.422,288.85,51.62,68.11,59.86
7,2001,23,0.421,288.31,46.76,75.38,61.07
7,2001,24,0.432,289.04,48.57,72.70,60.64
7,2001,25,0.451,290.48,54.43,62.04,58.24
7,2001,26,0.468,291.73,59.95,52.50,56.22
7,2001,27,0.484,292.89,66.16,44.65,55.41
7,2001,28,0.488,293.24,70.77,44.05,57.41
7,2001,29,0.491,293.34,74.64,44.80,59.72
7,2001,30,0.495,293.66,78.99,42.13,60.56
7,2001,31,0.491,293.28,78.68,45.95,62.32
7,2001,32,0.486,292.70,78.34,51.64,64.99
7,2001,33,0.486,292.43,80.88,50.89,65.89
7,2001,34,0.472,291.30,77.83,60.16,69.00
7,2001,35,0.451,289.60,73.75,70.26,72.01
7,2001,36,0.428,287.42,70.48,76.22,73.35
7,2001,37,0.419,286.00,72.99,71.35,72.17
7,2001,38,0.413,285.49,75.64,63.68,69.66
7,2001,39,0.405,284.88,77.78,56.20,66.99
7,2001,40,0.391,283.85,78.06,54.79,66.43
7,2001,41,0.379,282.59,82.38,51.11,66.74
7,2001,42,0.357,280.86,83.77,50.36,67.07
7,2001,43,0.323,278.15,81.26,54.70,67.98
7,2001,44,0.283,274.99,77.01,59.89,68.45
7,2001,45,0.239,271.67,68.88,62.35,65.62
7,2001,46,0.186,268.51,54.13,64.02,59.07
7,2001,47,0.143,265.10,42.38,69.29,55.84
7,2001,48,0.110,261.44,33.54,77.33,55.43
7,2001,49,0.095,258.71,29.73,81.53,55.63
7,2001,50,0.087,257.26,30.44,79.72,55.08
7,2001,51,0.083,256.53,32.90,76.03,54.46
7,2001,52,0.083,256.60,35.59,71.99,53.79
7,2002,01,0.087,257.52,39.26,68.60,53.93
7,2002,02,0.096,260.38,47.15,56.82,51.99
7,2002,03,0.115,264.48,61.92,40.47,51.19
7,2002,04,0.142,268.83,78.80,25.65,52.22
7,2002,05,0.166,271.64,87.28,18.94,53.11
7,2002,06,0.186,273.83,89.41,15.97,52.69
7,2002,07,0.205,275.84,91.69,13.77,52.73
7,2002,08,0.220,277.41,93.60,13.25,53.42
7,2002,09,0.235,278.97,95.54,13.18,54.36
7,2002,10,0.246,280.65,94.94,13.34,54.14
7,2002,11,0.259,282.39,93.94,13.41,53.68
7,2002,12,0.270,283.58,91.47,16.69,54.08
7,2002,13,0.276,284.13,87.50,19.47,53.48
7,2002,14,0.281,284.58,81.45,23.64,52.54
7,2002,15,0.289,285.21,76.05,27.43,51.74
7,2002,16,0.312,286.29,74.06,31.22,52.64
7,2002,17,0.346,287.92,73.96,31.15,52.56
7,2002,18,0.385,289.31,76.98,30.43,53.71
7,2002,19,0.412,290.03,75.82,32.98,54.40
7,2002,20,0.434,290.23,74.71,39.66,57.18
7,2002,21,0.449,290.22,72.17,48.90,60.53
7,2002,22,0.466,290.70,71.28,49.37,60.33
7,2002,23,0.481,291.07,73.66,49.20,61.43
7,2002,24,0.501,292.05,79.70,42.31,61.00
7,2002,25,0.512,293.00,82.58,33.78,58.18
7,2002,26,0.509,293.46,78.69,31.47,55.08
7,2002,27,0.499,293.70,71.62,34.05,52.83
7,2002,28,0.484,293.60,66.57,38.82,52.70
7,2002,29,0.469,293.41,61.74,42.95,52.34
7,2002,30,0.450,292.65,55.08,53.32,54.20
7,2002,31,0.436,292.18,49.17,58.52,53.85
7,2002,32,0.428,291.94,46.67,60.52,53.60
7,2002,33,0.422,291.53,45.28,62.18,53.73
7,2002,34,0.408,290.88,41.33,64.71,53.02
7,2002,35,0.385,289.56,38.03,69.83,53.93
7,2002,36,0.358,287.95,36.12,69.46,52.79
7,2002,37,0.318,285.15,29.75,77.22,53.48
7,2002,38,0.284,282.32,22.07,89.33,55.70
7,2002,39,0.253,280.08,14.11,95.29,54.70
7,2002,40,0.247,279.26,13.70,94.81,54.26
7,2002,41,0.232,278.05,13.23,90.97,52.10
7,2002,42,0.206,276.04,12.17,88.91,50.54
7,2002,43,0.171,273.13,8.28,89.66,48.97
7,2002,44,0.150,271.75,9.90,80.29,45.10
7,2002,45,0.140,270.81,16.53,66.95,41.74
7,2002,46,0.134,269.61,25.39,58.13,41.76
7,2002,47,0.126,267.85,31.92,56.23,44.08
7,2002,48,0.121,266.49,37.38,55.02,46.20
7,2002,49,0.117,264.96,40.32,55.35,47.84
7,2002,50,0.106,262.68,40.07,57.90,48.98
7,2002,51,0.095,260.44,39.75,61.34,50.54
7,2002,52,0.088,259.58,38.47,61.81,50.14
7,2003,01,0.087,259.95,38.70,61.06,49.88
7,2003,02,0.083,260.01,37.24,62.00,49.62
7,2003,03,0.077,259.70,33.07,65.63,49.35
7,2003,04,0.073,259.60,29.41,69.53,49.47
7,2003,05,0.073,260.30,26.03,70.85,48.44
7,2003,06,0.074,261.07,24.29,71.49,47.89
7,2003,07,0.076,261.69,23.01,72.42,47.71
7,2003,08,0.076,262.92,22.02,72.74,47.38
7,2003,09,0.084,265.38,23.64,70.11,46.88
7,2003,10,0.095,267.74,25.89,67.45,46.67
7,2003,11,0.113,270.05,30.23,66.91,48.57
7,2003,12,0.136,272.46,35.33,69.41,52.37
7,2003,13,0.165,275.66,40.94,67.16,54.05
7,2003,14,0.200,279.26,46.98,59.19,53.09
7,2003,15,0.236,282.71,52.65,47.10,49.87
7,2003,16,0.273,285.64,56.83,37.46,47.15
7,2003,17,0.319,288.26,61.65,29.66,45.66
7,2003,18,0.369,290.43,68.69,21.79,45.24
7,2003,19,0.415,292.22,73.78,15.07,44.42
7,2003,20,0.451,293.24,77.52,13.54,45.53
7,2003,21,0.476,293.71,78.23,17.20,47.71
7,2003,22,0.496,294.15,79.39,18.01,48.70
7,2003,23,0.508,294.45,81.27,17.84,49.55
7,2003,24,0.512,294.42,81.27,18.62,49.95
7,2003,25,0.505,294.16,76.84,21.24,49.04
7,2003,26,0.495,293.71,70.31,28.03,49.17
7,2003,27,0.488,293.72,65.26,32.67,48.97
7,2003,28,0.485,294.09,65.45,31.70,48.57
7,2003,29,0.481,294.25,65.93,31.20,48.56
7,2003,30,0.475,294.29,64.82,32.16,48.49
7,2003,31,0.471,294.46,63.52,29.10,46.31
7,2003,32,0.463,294.31,61.02,28.99,45.01
7,2003,33,0.451,293.86,56.37,30.31,43.34
7,2003,34,0.438,292.97,53.11,36.76,44.93
7,2003,35,0.428,292.22,55.55,36.85,46.20
7,2003,36,0.414,291.20,58.30,35.32,46.81
7,2003,37,0.395,289.65,59.03,36.90,47.96
7,2003,38,0.372,287.84,55.83,40.56,48.19
7,2003,39,0.347,285.75,51.35,46.59,48.97
7,2003,40,0.320,283.39,44.25,57.43,50.84
7,2003,41,0.294,281.12,40.24,64.14,52.19
7,2003,42,0.272,279.13,41.71,65.09,53.40
7,2003,43,0.256,278.01,47.21,55.67,51.44
7,2003,44,0.243,277.38,55.18,43.09,49.14
7,2003,45,0.228,276.60,61.18,32.80,46.99
7,2003,46,0.211,275.43,64.95,28.42,46.69
7,2003,47,0.199,274.15,70.08,26.65,48.37
7,2003,48,0.186,272.42,71.78,28.33,50.05
7,2003,49,0.169,270.13,68.75,32.12,50.44
7,2003,50,0.151,267.54,66.96,35.40,51.18
7,2003,51,0.135,264.21,65.03,43.04,54.03
7,2003,52,0.115,258.93,56.14,60.84,58.49
7,2004,01,0.098,253.77,46.61,78.66,62.63
7,2004,05,0.081,253.44,32.05,90.12,61.09
7,2004,06,0.082,255.46,29.25,88.36,58.81
7,2004,07,0.083,256.35,27.07,87.43,57.25
7,2004,08,0.083,255.80,25.63,89.27,57.45
7,2004,09,0.083,254.36,23.56,91.33,57.44
7,2004,10,0.082,254.24,20.54,93.37,56.96
7,2004,25,0.453,291.55,55.53,47.20,51.36
7,2004,26,0.443,291.45,48.64,51.44,50.04
7,2004,27,0.438,291.56,43.25,56.27,49.76
7,2004,28,0.430,291.57,40.83,60.73,50.78
7,2004,30,0.420,291.33,41.29,67.25,54.27
7,2004,31,0.424,291.37,42.89,68.08,55.48
7,2004,32,0.435,291.40,49.39,67.66,58.52
7,2004,33,0.449,291.35,58.30,65.33,61.81
7,2004,34,0.470,291.32,73.01,60.19,66.60
7,2004,35,0.478,290.87,83.25,54.89,69.07
7,2004,36,0.475,290.47,88.12,44.08,66.10
7,2004,37,0.461,289.68,87.99,37.35,62.67
7,2004,38,0.444,288.65,86.30,34.03,60.16
7,2004,39,0.429,287.48,86.32,31.52,58.92
7,2004,40,0.405,286.30,82.90,29.93,56.41
7,2004,41,0.375,285.48,78.99,21.87,50.43
7,2004,42,0.348,284.36,77.34,19.68,48.51
7,2004,43,0.319,282.74,76.54,20.32,48.43
7,2004,44,0.281,280.49,73.03,21.81,47.42
7,2004,45,0.234,277.44,63.45,27.49,45.47
7,2004,46,0.200,273.68,58.44,36.79,47.61
7,2004,47,0.185,271.34,62.12,39.11,50.61
7,2004,48,0.172,269.75,63.77,39.90,51.84
7,2004,49,0.163,268.68,64.68,38.67,51.67
7,2004,50,0.153,268.11,66.46,33.83,50.15
7,2004,51,0.149,267.79,72.03,29.65,50.84
7,2004,52,0.141,266.58,71.50,32.40,51.95
7,2005,01,0.127,265.02,65.77,39.34,52.56
7,2005,02,0.116,263.79,61.05,45.59,53.32
7,2005,03,0.107,261.96,55.83,54.96,55.39
7,2005,04,0.098,260.18,47.30,65.11,56.20
7,2005,05,0.090,258.47,37.65,74.61,56.13
7,2005,06,0.085,257.20,30.64,82.35,56.50
7,2005,07,0.083,256.89,26.91,85.76,56.33
7,2005,08,0.088,257.96,27.41,86.40,56.90
7,2005,09,0.094,259.60,28.12,87.64,57.88
7,2005,10,0.106,262.21,30.34,86.17,58.26
7,2005,11,0.129,266.77,36.93,80.07,58.50
7,2005,12,0.164,272.48,46.98,70.59,58.78
7,2005,13,0.192,276.71,51.94,62.66,57.30
7,2005,14,0.215,280.21,53.18,53.46,53.32
7,2005,15,0.239,283.07,54.27,43.79,49.03
7,2005,16,0.266,285.19,54.57,39.95,47.26
7,2005,17,0.298,286.62,54.61,42.00,48.30
7,2005,18,0.344,288.15,60.63,40.84,50.74
7,2005,19,0.389,289.38,66.19,39.48,52.84
7,2005,20,0.427,290.73,70.89,36.03,53.46
7,2005,21,0.451,291.43,71.76,38.11,54.93
7,2005,22,0.472,291.95,73.58,38.07,55.82
7,2005,23,0.489,292.32,77.30,37.54,57.42
7,2005,24,0.500,292.99,80.33,32.27,56.30
7,2005,25,0.500,293.06,79.44,31.97,55.71
7,2005,26,0.494,292.75,74.90,38.04,56.47
