provinceID,year,week,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
18,2000,01,0.00,0.00,0.00,0.40,2.46,6.20,10.80,16.24,21.01,19.78,13.86,6.20,2.22,0.68,0.12,0.04,0.00,0.00,0.00,0.00,0.00
18,2000,02,0.00,0.00,0.00,0.32,2.18,4.88,10.01,14.93,17.71,17.79,16.88,9.77,4.17,1.19,0.12,0.04,0.00,0.00,0.00,0.00,0.00
18,2000,03,0.00,0.00,0.00,0.20,2.50,4.96,8.54,12.79,15.05,14.89,14.42,12.11,8.50,4.61,1.19,0.24,0.00,0.00,0.00,0.00,0.00
18,2000,04,0.00,0.00,0.00,0.24,1.59,5.84,8.62,12.51,15.73,16.28,13.58,9.49,8.30,5.84,1.75,0.24,0.00,0.00,0.00,0.00,0.00
18,2000,05,0.00,0.00,0.04,0.08,0.83,4.33,9.93,13.86,18.11,17.75,12.87,8.74,8.26,4.13,0.99,0.04,0.04,0.00,0.00,0.00,0.00
18,2000,06,0.00,0.00,0.00,0.08,0.71,4.01,11.99,17.51,20.61,18.47,11.83,7.23,5.72,1.79,0.00,0.04,0.00,0.00,0.00,0.00,0.00
18,2000,07,0.00,0.00,0.00,0.20,1.95,10.92,21.56,21.84,19.14,12.35,6.55,4.45,0.87,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,2000,08,0.00,0.00,0.00,0.16,4.17,16.96,25.02,23.07,17.00,9.25,3.02,1.07,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,2000,09,0.00,0.00,0.00,0.00,4.09,18.27,25.89,24.46,17.24,7.11,2.22,0.56,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,2000,10,0.00,0.00,0.00,0.04,3.57,15.41,24.31,24.62,18.11,9.21,2.98,1.35,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,2000,11,0.00,0.00,0.00,0.08,3.77,13.42,23.63,24.34,17.91,9.85,4.53,1.59,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,2000,12,0.00,0.00,0.00,0.08,2.30,11.91,22.16,25.38,19.62,10.88,5.00,1.87,0.71,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,2000,13,0.00,0.00,0.00,0.20,2.50,11.72,22.16,27.28,19.30,10.09,4.57,1.35,0.68,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,2000,14,0.00,0.00,0.04,0.68,4.65,14.38,24.98,26.57,17.12,7.66,2.66,0.71,0.52,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,2000,15,0.00,0.08,0.20,2.03,7.31,16.24,25.58,22.95,15.81,6.47,2.18,0.75,0.36,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,2000,16,0.08,0.08,0.48,2.50,7.23,15.05,21.92,21.60,15.45,9.81,3.69,1.47,0.52,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.00
