provinceID,year,week,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
14,2000,01,0.04,0.13,0.92,5.16,10.28,14.18,13.13,13.34,11.03,9.82,8.60,6.12,3.94,1.89,0.96,0.34,0.13,0.00,0.00,0.00,0.00
14,2000,02,0.00,0.04,0.50,3.15,8.52,11.74,12.12,10.70,10.82,11.49,8.93,7.38,5.45,3.10,2.81,1.68,1.17,0.29,0.08,0.00,0.00
14,2000,03,0.00,0.00,0.42,1.76,6.04,9.65,12.04,10.49,10.03,10.07,10.07,9.31,7.59,3.98,3.48,2.47,1.89,0.63,0.08,0.00,0.00
14,2000,04,0.00,0.04,0.42,1.80,5.62,9.56,11.20,11.54,10.78,10.15,9.65,9.56,7.26,3.94,3.44,3.23,1.68,0.13,0.00,0.00,0.00
14,2000,05,0.00,0.08,0.29,1.93,5.79,10.53,12.71,12.54,12.29,11.74,10.44,7.68,5.54,2.73,3.61,1.93,0.17,0.00,0.00,0.00,0.00
14,2000,06,0.00,0.00,0.42,1.43,5.12,10.74,15.81,16.69,14.64,11.87,9.44,5.16,3.44,3.73,1.34,0.17,0.00,0.00,0.00,0.00,0.00
14,2000,07,0.00,0.00,0.29,1.64,4.91,12.58,19.76,20.85,14.30,9.86,7.01,4.70,2.94,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,2000,08,0.00,0.00,0.08,1.64,5.16,15.52,25.63,21.98,12.16,8.98,5.16,2.94,0.71,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,2000,09,0.00,0.00,0.04,1.13,7.97,20.93,27.81,21.06,13.00,5.75,1.72,0.38,0.17,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,2000,10,0.00,0.00,0.00,0.63,7.42,22.65,29.49,21.64,11.95,4.40,1.13,0.38,0.25,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,2000,11,0.00,0.00,0.00,0.38,5.54,24.16,33.01,19.97,11.07,3.69,1.34,0.46,0.25,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,2000,12,0.00,0.00,0.00,0.29,4.53,20.81,34.40,22.06,11.70,4.19,1.30,0.55,0.13,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,2000,13,0.00,0.00,0.04,0.46,5.91,22.19,34.06,22.78,10.32,2.94,1.01,0.25,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,2000,14,0.00,0.00,0.08,1.97,11.66,28.61,31.92,17.41,6.21,1.80,0.25,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,2000,15,0.00,0.00,0.42,3.44,12.84,29.03,28.98,17.70,5.58,1.93,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,2000,16,0.00,0.00,0.25,1.47,6.71,17.53,27.47,23.53,15.18,5.49,2.01,0.29,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,2000,17,0.00,0.04,0.04,0.67,2.39,8.10,15.90,23.36,21.56,15.35,7.42,3.36,1.43,0.34,0.04,0.00,0.00,0.00,0.00,0.00,0.00
