provinceID,year,week,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
5,2000,01,0.00,0.16,0.08,0.58,3.15,9.79,19.59,24.60,18.07,12.59,7.19,2.91,0.97,0.27,0.04,0.00,0.00,0.00,0.00,0.00,0.00
5,2000,02,0.00,0.00,0.08,0.16,2.02,5.64,13.56,19.86,22.50,17.18,10.69,5.17,2.49,0.47,0.16,0.04,0.00,0.00,0.00,0.00,0.00
5,2000,03,0.00,0.00,0.00,0.04,0.54,4.59,10.18,13.45,20.13,19.35,14.81,8.74,4.66,2.45,0.93,0.12,0.00,0.00,0.00,0.00,0.00
5,2000,04,0.00,0.00,0.00,0.00,0.51,3.81,9.48,11.70,16.60,18.42,15.86,11.04,6.84,3.50,1.98,0.27,0.00,0.00,0.00,0.00,0.00
5,2000,05,0.00,0.00,0.00,0.00,0.39,2.33,7.85,11.58,14.38,17.26,17.26,12.32,9.25,5.13,1.98,0.27,0.00,0.00,0.00,0.00,0.00
5,2000,06,0.00,0.00,0.00,0.00,0.39,2.14,7.15,11.15,15.39,18.85,17.53,12.59,10.22,4.08,0.47,0.04,0.00,0.00,0.00,0.00,0.00
5,2000,07,0.00,0.00,0.00,0.00,0.62,3.96,8.78,13.60,17.06,20.33,14.34,13.45,6.80,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,2000,08,0.00,0.00,0.00,0.04,0.86,3.19,9.60,14.57,18.38,19.70,14.42,12.83,5.95,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,2000,09,0.00,0.00,0.00,0.04,0.35,2.84,9.56,15.43,19.94,19.32,15.78,13.33,3.34,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,2000,10,0.00,0.00,0.00,0.00,0.54,2.84,9.79,14.85,17.53,18.77,17.64,15.74,2.18,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,2000,11,0.00,0.00,0.00,0.00,0.58,3.54,10.84,17.02,19.01,19.28,16.05,10.88,2.60,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,2000,12,0.00,0.00,0.00,0.00,0.43,3.26,11.97,20.60,23.16,19.82,12.01,6.84,1.79,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.00
5,2000,13,0.00,0.00,0.00,0.04,0.47,5.75,16.28,27.94,26.00,13.99,6.61,2.02,0.78,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,2000,14,0.00,0.00,0.00,0.08,2.88,12.55,30.04,29.03,16.91,5.95,2.02,0.51,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00
5,2000,15,0.00,0.00,0.04,0.23,5.52,17.88,29.81,25.11,13.91,5.52,1.59,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,2000,16,0.00,0.00,0.08,0.86,6.22,16.91,25.42,25.07,14.54,6.92,3.23,0.66,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,2000,17,0.00,0.00,0.04,0.47,3.46,11.08,19.51,20.56,20.37,11.89,7.03,4.00,1.24,0.27,0.04,0.04,0.00,0.00,0.00,0.00,0.00
5,2000,18,0.00,0.00,0.00,0.19,0.47,3.30,7.54,12.44,18.07,18.15,15.86,11.19,6.68,3.65,1.55,0.51,0.35,0.04,0.00,0.00,0.00
5,2000,19,0.00,0.00,0.04,0.04,0.19,1.52,4.28,6.84,11.78,15.20,16.60,15.66,12.24,7.11,5.09,2.41,0.82,0.04,0.16,0.00,0.00
5,2000,20,0.00,0.00,0.04,0.12,0.66,2.10,4.00,7.11,11.62,14.50,15.66,15.86,12.44,8.01,4.55,2.22,0.74,0.31,0.08,0.00,0.00
5,2000,21,0.00,0.04,0.16,0.35,1.05,2.49,3.96,7.62,10.07,15.04,16.01,15.90,12.28,7.58,4.62,1.83,0.70,0.27,0.04,0.00,0.00
5,2000,22,0.00,0.12,0.19,0.39,1.17,2.49,4.97,8.59,12.32,15.70,15.62,15.43,10.03,7.07,3.77,1.52,0.43,0.16,0.04,0.00,0.00
5,2000,23,0.00,0.08,0.31,0.66,1.01,3.03,5.67,8.51,12.67,15.43,16.95,13.18,10.57,5.87,3.69,1.67,0.54,0.08,0.08,0.00,0.00
5,2000,24,0.00,0.04,0.16,0.66,0.74,2.29,4.16,6.49,12.05,14.22,15.93,14.73,11.62,8.59,3.77,2.88,1.17,0.43,0.04,0.04,0.00
5,2000,25,0.00,0.00,0.04,0.23,0.39,1.24,1.87,4.82,7.77,9.52,13.56,15.93,15.04,11.31,8.67,5.44,2.18,1.63,0.27,0.08,0.00
5,2000,26,0.00,0.00,0.00,0.12,0.27,0.82,1.20,3.07,6.02,8.08,11.04,14.11,15.51,13.53,10.22,7.42,5.01,2.72,0.82,0.04,0.00
5,2000,27,0.00,0.00,0.00,0.08,0.35,0.62,1.59,2.53,5.52,8.94,10.92,14.38,14.50,13.76,10.57,7.81,4.70,2.95,0.74,0.04,0.00
5,2000,28,0.00,0.00,0.00,0.04,0.35,0.47,2.22,2.80,6.72,8.28,12.51,13.72,14.26,13.25,10.45,7.93,4.31,1.94,0.66,0.08,0.00
5,2000,29,0.00,0.00,0.00,0.00,0.31,0.82,1.79,3.73,6.06,9.87,11.89,12.90,12.48,13.18,11.89,8.24,3.93,2.14,0.62,0.16,0.00
5,2000,30,0.00,0.00,0.00,0.04,0.27,1.17,2.18,3.77,6.92,10.26,11.50,11.85,12.55,11.70,10.65,8.12,5.56,2.57,0.78,0.12,0.00
5,2000,31,0.00,0.00,0.04,0.04,0.39,1.40,2.41,4.35,7.27,10.73,11.47,11.27,11.74,11.15,9.76,8.74,5.48,2.37,1.05,0.35,0.00
5,2000,32,0.00,0.00,0.04,0.08,0.62,1.87,2.72,5.60,8.98,11.66,11.43,10.96,10.22,10.10,9.41,7.70,4.94,2.33,1.24,0.12,0.00
5,2000,33,0.00,0.00,0.16,0.19,1.40,2.18,4.82,8.39,10.77,10.53,11.58,11.19,9.68,8.47,7.89,6.02,3.54,2.37,0.70,0.12,0.00
5,2000,34,0.00,0.04,0.00,0.43,0.97,2.60,6.57,9.21,11.31,12.32,11.35,11.43,8.16,8.05,7.50,5.05,3.07,1.52,0.35,0.08,0.00
5,2000,35,0.00,0.04,0.00,0.12,0.58,1.71,5.09,9.09,10.14,13.41,13.72,10.88,10.73,8.28,7.66,4.82,2.29,1.05,0.23,0.16,0.00
5,2000,36,0.00,0.04,0.00,0.08,0.39,1.36,5.60,8.12,10.57,12.44,15.93,12.48,11.12,9.09,6.61,3.50,1.67,0.66,0.16,0.19,0.00
5,2000,37,0.00,0.04,0.04,0.12,0.62,1.63,5.13,9.64,9.68,11.04,17.18,11.74,11.89,9.37,6.22,3.03,1.59,0.66,0.35,0.04,0.00
5,2000,38,0.00,0.00,0.12,0.39,1.05,3.81,7.19,10.03,11.23,11.97,13.25,11.58,10.18,8.94,5.48,2.60,1.24,0.58,0.27,0.04,0.04
5,2000,39,0.00,0.00,0.27,0.86,3.11,5.71,9.83,11.15,13.10,13.29,14.69,10.03,8.71,4.97,2.88,0.93,0.35,0.08,0.04,0.00,0.00
5,2000,40,0.00,0.19,0.70,2.29,4.59,8.94,11.08,13.68,15.04,14.38,11.62,8.24,4.74,2.76,1.40,0.19,0.08,0.08,0.00,0.00,0.00
5,2000,41,0.04,0.47,1.36,3.93,7.81,12.55,15.00,16.44,14.77,11.62,8.36,3.65,2.64,1.01,0.27,0.04,0.04,0.00,0.00,0.00,0.00
5,2000,42,0.04,0.31,1.98,5.40,11.97,16.36,17.92,17.99,12.67,7.38,4.90,2.14,0.74,0.08,0.12,0.00,0.00,0.00,0.00,0.00,0.00
5,2000,43,0.00,0.39,1.32,5.40,12.36,19.51,20.29,18.38,11.04,7.23,2.64,1.20,0.19,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,2000,44,0.04,0.62,3.34,10.65,20.25,22.62,20.64,13.41,5.75,1.87,0.58,0.19,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,2000,45,0.23,2.02,8.43,19.08,23.05,20.99,15.97,6.57,2.45,0.82,0.27,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
