provinceID,year,week,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
25,2000,01,0.33,2.07,11.75,19.75,17.95,19.75,16.00,8.27,3.16,0.82,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,2000,02,0.00,1.20,7.18,14.04,16.05,20.95,20.18,12.51,5.17,2.34,0.33,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,2000,03,0.00,0.11,1.03,7.34,12.84,20.13,26.88,18.61,9.14,3.05,0.54,0.27,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,2000,04,0.00,0.00,0.11,0.33,3.32,9.03,23.23,30.09,22.63,8.71,1.90,0.44,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,2000,05,0.00,0.00,0.00,0.00,0.22,3.16,11.97,28.89,32.81,17.57,4.52,0.82,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,2000,06,0.00,0.00,0.00,0.00,0.11,1.52,8.98,29.16,34.00,20.29,5.06,0.76,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,2000,07,0.00,0.00,0.00,0.00,0.16,1.41,9.96,28.13,34.49,20.78,4.52,0.49,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,2000,08,0.00,0.00,0.00,0.00,0.05,1.14,8.38,22.63,37.70,22.03,7.34,0.54,0.11,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,2000,09,0.00,0.00,0.00,0.00,0.00,0.38,4.35,15.45,35.96,29.22,11.75,2.61,0.16,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,2000,10,0.00,0.00,0.00,0.00,0.00,0.16,2.56,10.83,31.99,32.32,15.78,5.44,0.76,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,2000,11,0.00,0.00,0.00,0.00,0.00,0.11,1.14,7.34,24.59,35.75,21.38,7.62,1.85,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00
25,2000,12,0.00,0.00,0.00,0.00,0.00,0.05,0.49,4.24,15.78,29.16,29.43,15.18,4.30,1.14,0.16,0.05,0.00,0.00,0.00,0.00,0.00
25,2000,13,0.00,0.00,0.00,0.00,0.00,0.05,0.65,4.30,14.69,28.45,27.48,16.05,6.42,1.31,0.54,0.05,0.00,0.00,0.00,0.00,0.00
25,2000,14,0.00,0.00,0.00,0.00,0.00,0.05,1.03,6.15,17.19,26.61,24.81,15.18,7.02,1.41,0.44,0.11,0.00,0.00,0.00,0.00,0.00
25,2000,15,0.00,0.00,0.00,0.00,0.00,0.27,1.52,8.11,19.21,24.10,25.41,14.69,4.68,1.52,0.49,0.00,0.00,0.00,0.00,0.00,0.00
25,2000,16,0.00,0.00,0.00,0.00,0.00,0.05,0.87,3.59,10.94,20.02,25.90,20.24,11.64,4.57,1.74,0.38,0.05,0.00,0.00,0.00,0.00
25,2000,17,0.00,0.00,0.00,0.00,0.00,0.00,0.27,1.20,4.03,8.92,16.81,21.60,21.33,14.31,7.07,2.88,0.92,0.54,0.11,0.00,0.00
25,2000,18,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.71,2.23,4.35,7.13,14.15,18.99,20.51,15.67,9.14,4.35,1.80,0.60,0.22,0.00
25,2000,19,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.54,2.23,3.05,5.88,9.63,13.44,17.95,17.74,13.60,8.60,4.90,1.09,0.71,0.16
25,2000,20,0.00,0.00,0.00,0.00,0.00,0.05,0.54,0.98,2.07,3.05,5.71,9.19,13.22,15.94,18.61,13.66,9.74,4.13,2.23,0.65,0.22
25,2000,21,0.00,0.00,0.00,0.00,0.00,0.22,0.71,1.63,2.61,4.68,8.60,11.92,15.72,17.74,16.27,9.90,5.88,3.10,0.76,0.22,0.05
25,2000,22,0.00,0.00,0.00,0.00,0.16,0.60,0.87,2.56,5.44,9.03,12.08,17.30,16.16,16.00,10.50,5.77,2.45,0.87,0.16,0.05,0.00
25,2000,23,0.00,0.00,0.00,0.22,0.33,0.76,2.61,5.06,8.92,13.49,16.97,16.97,14.74,10.28,5.82,2.61,1.03,0.16,0.00,0.00,0.00
25,2000,24,0.00,0.00,0.05,0.22,0.71,1.85,4.19,8.54,10.45,15.78,17.46,15.13,12.51,6.86,3.75,1.69,0.65,0.16,0.00,0.00,0.00
25,2000,25,0.00,0.00,0.11,0.54,1.09,1.80,4.68,7.67,12.08,16.38,16.16,16.54,10.34,6.09,4.35,1.41,0.38,0.33,0.05,0.00,0.00
25,2000,26,0.00,0.00,0.22,0.33,1.25,2.29,4.24,8.11,14.20,15.45,17.74,15.72,9.58,5.77,3.10,1.47,0.49,0.05,0.00,0.00,0.00
25,2000,27,0.00,0.00,0.16,0.22,0.98,2.61,4.30,8.00,12.13,16.92,18.50,14.91,10.66,5.60,3.54,1.14,0.22,0.11,0.00,0.00,0.00
25,2000,28,0.00,0.00,0.00,0.38,0.87,2.01,4.08,6.69,11.43,16.81,17.36,16.32,12.89,6.47,3.37,0.87,0.33,0.05,0.05,0.00,0.00
25,2000,29,0.00,0.00,0.00,0.11,0.33,0.92,2.12,3.97,7.78,12.02,16.92,19.10,16.70,11.10,5.60,2.45,0.76,0.11,0.00,0.00,0.00
25,2000,30,0.00,0.00,0.05,0.00,0.27,0.38,1.31,2.29,5.22,9.96,13.22,17.95,19.26,14.69,9.25,4.03,1.74,0.27,0.11,0.00,0.00
25,2000,31,0.00,0.00,0.00,0.00,0.33,0.38,1.36,2.39,4.95,9.03,15.13,17.74,17.95,15.18,9.36,4.24,1.52,0.38,0.05,0.00,0.00
25,2000,32,0.00,0.00,0.00,0.00,0.22,0.49,0.71,2.83,4.95,8.54,13.06,19.04,18.23,14.80,9.63,4.95,1.85,0.60,0.11,0.00,0.00
25,2000,33,0.00,0.00,0.00,0.16,0.11,0.54,1.36,2.01,5.39,8.43,13.71,18.01,18.82,13.87,9.90,4.73,2.07,0.76,0.11,0.00,0.00
