provinceID,year,week,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
11,2000,01,0.04,1.22,6.70,18.28,26.96,23.80,13.35,5.56,2.15,1.56,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2000,02,0.00,0.97,5.31,14.79,23.80,23.93,16.51,7.96,3.45,1.94,0.97,0.34,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2000,03,0.00,0.55,3.96,13.10,22.24,20.64,17.40,12.13,6.32,2.11,1.01,0.51,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2000,04,0.00,0.21,1.56,7.08,17.48,23.04,20.51,15.67,8.97,3.50,1.22,0.63,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2000,05,0.00,0.00,0.46,2.82,9.98,19.88,24.35,19.17,14.45,5.86,1.90,0.88,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2000,06,0.00,0.00,0.13,0.80,5.64,14.74,24.30,25.44,17.65,8.17,1.94,1.05,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2000,07,0.00,0.00,0.00,0.93,6.66,20.05,26.45,25.40,13.98,5.14,1.10,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2000,08,0.00,0.00,0.00,0.76,7.83,21.90,28.10,23.59,11.96,4.76,0.88,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2000,09,0.00,0.00,0.00,0.17,3.29,17.06,27.76,26.54,15.75,6.70,2.32,0.38,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2000,10,0.00,0.00,0.00,0.08,2.49,13.40,27.00,27.34,16.93,8.97,3.16,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2000,11,0.00,0.00,0.00,0.29,4.17,18.37,28.60,24.39,14.62,6.91,2.15,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2000,12,0.00,0.00,0.00,0.42,5.73,19.76,28.98,23.13,13.27,5.77,2.44,0.46,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2000,13,0.00,0.00,0.04,1.22,7.33,20.94,27.97,22.28,11.88,5.94,1.68,0.59,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2000,14,0.00,0.00,0.25,2.53,9.01,20.60,26.12,21.15,11.50,5.98,1.85,0.76,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2000,15,0.00,0.08,0.46,2.06,7.54,16.47,22.91,22.03,13.98,9.14,3.79,0.93,0.51,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2000,16,0.00,0.08,0.34,0.76,2.95,7.54,15.75,20.68,19.84,15.42,9.35,4.84,1.90,0.38,0.17,0.00,0.00,0.00,0.00,0.00,0.00
11,2000,17,0.00,0.04,0.21,0.51,0.93,2.61,6.91,12.05,15.67,18.07,17.27,12.30,7.03,4.09,1.56,0.51,0.13,0.08,0.00,0.04,0.00
11,2000,18,0.00,0.00,0.08,0.34,0.80,1.31,3.12,7.83,10.83,14.41,16.01,16.39,12.09,7.96,5.18,1.85,1.14,0.46,0.17,0.00,0.04
11,2000,19,0.00,0.00,0.04,0.42,0.76,1.85,3.12,5.60,9.86,12.85,15.29,15.12,14.11,8.13,6.70,3.41,1.64,0.59,0.25,0.21,0.04
11,2000,20,0.00,0.04,0.17,0.59,1.43,2.11,4.21,6.57,9.86,11.88,14.70,16.01,12.55,8.51,5.39,3.62,1.64,0.46,0.17,0.00,0.08
11,2000,21,0.00,0.08,0.38,0.59,1.81,2.70,5.10,7.83,10.24,12.64,15.21,14.49,11.29,7.67,4.89,3.33,1.22,0.34,0.13,0.08,0.00
11,2000,22,0.04,0.13,0.08,1.01,1.43,2.74,4.76,8.76,11.33,14.45,15.63,14.45,10.91,7.16,3.75,2.19,0.93,0.13,0.13,0.00,0.00
11,2000,23,0.00,0.00,0.13,0.76,1.18,2.82,4.25,7.79,12.97,16.43,15.50,14.49,11.08,6.23,3.83,1.68,0.55,0.21,0.08,0.00,0.00
11,2000,24,0.00,0.00,0.04,0.25,0.76,1.94,3.62,6.44,11.50,15.25,17.02,16.01,11.79,7.54,4.63,2.06,0.84,0.17,0.13,0.00,0.00
